Abreviatura	Autor	Biblioteca depositada	CNPJ/Código Governamental Internacional do Financiador	Data de Defesa	Descrição	Expectativa de Atuação	Idioma	Keywords	Linha de Pesquisa	Mesma área de Atuação?	Número de Meses	O orientador principal compôs a banca do discente?	Orientador	Palavras-chave	Produção Associada	Programa	Projeto de Pesquisa	Páginas	Subtipo da Produção	Tipo da Produção	Tipo de Instituição	Tipo de Trabalho de Conclusão	Tipo de Vínculo Empregatício	Título	Volume	Área de Concentração
DURANS, R.	RENATA DURANS PESSOA DE SOUZA	Universidade Federal do Pará		05/09/2016		Pesquisa	PORTUGUES	Belem;Expansion area;segregation;housing typologies;public spaces	TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	Sim		Sim	ANA CLÁUDIA DUARTE CARDOSO	Belém;Área de expansão;segregação;tipologias habitacionais;espaço público		15001016063P4	TENDÊNCIAS MORFOLÓGICAS, SOCIAIS E AMBIENTAIS NA PERIFERIA DE BELÉM DO PARÁ	155.0			Outros	DISSERTAÇÃO	CLT	A área de expansão de Belém: Um espaço de múltiplas vivências	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
ABREU, P. V. L.	PAULA VANESSA LUZ DE ABREU	Universidade Federal do Pará	9025418000128.0	19/09/2016	FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO PARA - Programa de Bolsas de Mestrado e de Doutorado	Profissional Autônomo	PORTUGUES	urban mophology;landholding structure;emphyteusis;alignment;Belem expansion plan	TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	Sim	24.0	Sim	JOSE JULIO FERREIRA LIMA	morfologia urbana;estrutura fundiária;aforamento;alinhamento;Plano de Expansão de Belém		15001016063P4	ANÁLISE E CONCEPÇÃO DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA: GRUPO 01 - LINHA 01: TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	206.0			Empresa Privada	DISSERTAÇÃO	CLT	A MORFOLOGIA DO PLANO DE EXPANSÃO DA CIDADE DE BELÉM E A ESTRUTURA FUNDIÁRIA DO MUNICÍPIO NO SÉCULO XIX	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
NETO, A. M. F.	ALCYR DE MORISSON FARIA NETO	Universidade Federal do Pará		29/06/2016		Ensino e Pesquisa	PORTUGUES	Project;project quality;social housing	TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	Sim		Sim	ANA KLAUDIA DE ALMEIDA VIANA PERDIGAO	Projeto;habitação social;qualidade de projeto		15001016063P4	ANÁLISE E CONCEPÇÃO DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA: GRUPO 01 - LINHA 01: TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	92.0			Instituição de Ensino e Pesquisa	DISSERTAÇÃO	CLT	A QUALIDADE NO PROJETO ARQUITETÔNICO EM HABITAÇÃO SOCIAL: ESTUDO DE CASO - TABOQUINHA (ICOARACI | BELÉM | PARÁ)	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
COSTA, F. M.	FELIPE MELO DA COSTA	Universiade Federal do Pará	889834000108.0	31/10/2016	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação	Profissional Autônomo	PORTUGUES	Francisco Bolonha;Belle Epoque;Non-destructive techniques	PATRIMÔNIO, RESTAURO E TECNOLOGIA	Sim	11.0	Sim	MARCIO SANTOS BARATA	Francisco Bolonha;Belle Epoque;Técnicas não destrutivas		15001016063P4	ANÁLISE E CONCEPÇÃO DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA: GRUPO 01 - LINHA 02: TEORIA, HISTÓRIA E PROJETO	162.0			Outros	DISSERTAÇÃO	CLT	A TECNOLOGIA ESTRUTURAL DO ENGENHEIRO FRANCISCO BOLONHA EM BELÉM-PA	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
PANTOJA, P. A. V.	PAULO AFONSO VALENTE PANTOJA	Universidade Federal do Pará	889834000108.0	14/10/2016	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação	Profissional Autônomo	PORTUGUES	infrared thermography;mercedario's monastery;historical iconography;diagnosis;conservation	PATRIMÔNIO, RESTAURO E TECNOLOGIA	Sim	11.0	Sim	THAIS ALESSANDRA BASTOS CAMINHA SANJAD	Termografia infravermelha;conjunto dos mercedários;iconografia histórica;diagnóstico;conservação		15001016063P4	ANÁLISE E CONCEPÇÃO DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA: GRUPO 01 - LINHA 02: TEORIA, HISTÓRIA E PROJETO	81.0			Empresa Privada	DISSERTAÇÃO	CLT	A TERMOGRAFIA INFRAVERMELHA NA SALVAGUARDA DE MONUMENTOS CULTURAIS COMO MÉTODO NÃO DESTRUTIVO DE DIAGNÓSTICO	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
ZEMERO, B. R.	BRUNO RAMOS ZEMERO	Universidade Federal do Pará	889834000108.0	17/02/2016	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação	Ensino e Pesquisa	PORTUGUES	Labelling of buildings;sustainable design;energy efficiency;BIM technology	TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	Sim	24.0	Sim	MARIA EMILIA DE LIMA TOSTES	Etiquetagem de edificações;Projeto sustentável;Eficiência enérgetica;Tecnologia BIM		15001016063P4	ANÁLISE E CONCEPÇÃO DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA: GRUPO 01 - LINHA 01: TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	183.0			Instituição de Ensino e Pesquisa	DISSERTAÇÃO	CLT	ANÁLISE DA APLICABILIDADE DA TECNOLOGIA BIM EM PROJETOS SUSTENTÁVEIS E ETIQUETAGEM DE EDIFICAÇÕES NO BRASIL	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
COSTA, A. P. B. O.	ANA PAULA BAIA OLIVEIRA DA COSTA	Universidade Federal do Pará		19/05/2016		Empresas	PORTUGUES	noise evaluation and control;civil construction noise;environmental management;environmental monitoring and oversight	DESEMPENHO AMBIENTAL E TECNOLOGIA	Sim		Sim	GUSTAVO DA SILVA VIEIRA DE MELO	avaliação e controle do ruído;ruído da construção civil;gestão ambiental;monitoramento e fiscalização ambientais		15001016063P4	ANÁLISE E CONCEPÇÃO DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA: GRUPO 03 LINHA 3 DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	197.0			Empresa Pública ou Estatal	DISSERTAÇÃO	Servidor Público	Avaliação e Controle do Ruído. Ruído da Construção Civil. Gestão Ambiental. Monitoramento e Fiscalização Ambientais	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
ARRUDA, T. C.	TAINA CHERMONT ARRUDA	Universidade Federal do Pará	9025418000128.0	30/09/2016	FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO PARA - Programa de Bolsas de Mestrado e de Doutorado	Profissional Autônomo	PORTUGUES	glazed pottery;ornaments platiband;preservation;cultural heritage;conservation science	PATRIMÔNIO, RESTAURO E TECNOLOGIA	Sim	23.0	Sim	THAIS ALESSANDRA BASTOS CAMINHA SANJAD	cerâmica vitrificada;ornamento de platibanda;ornamentos de platibanda;preservação;patrimônio cultural;ciência da conservação		15001016063P4	ANÁLISE E CONCEPÇÃO DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA: GRUPO 01 - LINHA 02: TEORIA, HISTÓRIA E PROJETO	140.0			Outros	DISSERTAÇÃO	CLT	CONSERVAÇÃO DE ORNAMENTOS DE CERÂMICA VITRIFICADA UTILIZADOS EM PLATIBANDA	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
SANTOS, A. I. A.	ANA ISABEL DE ARAUJO SANTOS	Universidade Federal do Pará 	889834000108.0	24/10/2016	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação	Profissional Autônomo	PORTUGUES	Conservation and restore;protective layers;wooden floors;Amazon;Acapu;Pau-amarelo	PATRIMÔNIO, RESTAURO E TECNOLOGIA	Sim	11.0	Sim	THAIS ALESSANDRA BASTOS CAMINHA SANJAD	Conservação e restauro;Camadas protetivas;Pisos de madeira;Amazonia;Acapu;Pau amarelo		15001016063P4	ANÁLISE E CONCEPÇÃO DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA: GRUPO 01 - LINHA 02: TEORIA, HISTÓRIA E PROJETO	92.0			Empresa Privada	DISSERTAÇÃO	CLT	CONSERVAÇÃO E RESTAURO DE PISOS DE MADEIRAS AMAZÔNICAS EM EDIFICAÇÕES HISTÓRICAS NA CIDADE DE BELÉM	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
VIEIRA, L. A.	LARISSA ABBUD VIEIRA	Universidade Federal do Pará		22/08/2016		Profissional Autônomo	PORTUGUES	Titanium dioxide;self-cleaning coating;photocatalysis;durability;conservation of stone monuments;cultural heritage;natural weathering;Amazon Region	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	MARCIO SANTOS BARATA	Dióxido de titânio;Revestimento autolimpante;fotocatálise;durabilidade;conservação de monumentos pétreos;patrimônio histórico;Lioz;bioreceptividade;intemperismo natural região amazônica		15001016063P4		181.0			Outros	DISSERTAÇÃO	CLT	NANOMATERIAIS APLICADOS AO PATRIMÔNIO CULTURAL AMAZÔNICO: Revestimentos autolimpantes de dióxido de titânio em calcário Lioz	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
