Abreviatura	Autor	Biblioteca depositada	CNPJ/Código Governamental Internacional do Financiador	Data de Defesa	Descrição	Expectativa de Atuação	Idioma	Keywords	Linha de Pesquisa	Mesma área de Atuação?	Número de Meses	O orientador principal compôs a banca do discente?	Orientador	Palavras-chave	Produção Associada	Programa	Projeto de Pesquisa	Páginas	Subtipo da Produção	Tipo da Produção	Tipo de Instituição	Tipo de Trabalho de Conclusão	Tipo de Vínculo Empregatício	Título	Volume	Área de Concentração
REBELLO, Y. A. P.	YURI DE ALCANTARA PINTO REBELLO	Biblioteca do Instituto de Tecnologia da UFPa.		20/04/2017		Profissional Autônomo	PORTUGUES	Mártires de Abril Settlement;Casulo Project;Minha Casa Minha Vida Project	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	JOSE JULIO FERREIRA LIMA	Assentamento Mártires de Abril;Projeto Casulo;Programa Minha Casa Minha Vida		15001016063P4	Observatório das Metrópoles	102.0			Empresa Privada	DISSERTAÇÃO	CLT	A IMPLANTAÇÃO DE POLÍTICAS PÚBLICAS ?ESPACIAIS? EM ASSENTAMENTOS PERIURBANOS: uma análise do processo de constituição do Assentamento Mártires de Abril, Mosqueiro-PA	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
GRAIM, R. M. T.	REJANE MARREIROS TAVARES GRAIM	Pós-graduções do Instittuto de Tecnologia		31/08/2017		Profissional Autônomo	PORTUGUES	Social housing;Aging;adaptation;Architectural design	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	ANA KLAUDIA DE ALMEIDA VIANA PERDIGAO	Habitação Social;Envelhecimento;Adaptação;Projeto de arquitetura		15001016063P4	Embelezamento de cidades: análise do processo de indenização e reassentamento de famílias na intervenção do PROMABEN em Belém	134.0			Empresa Privada	DISSERTAÇÃO	CLT	Adaptação habitacional do idoso em situação de reassentamento na Vila da Barca, Belém, PA	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
RIBEIRO, A. E. N.	ANA ELISA DO NASCIMENTO RIBEIRO	Pós-graduções do Instittuto de Tecnologia		28/09/2017		Profissional Autônomo	PORTUGUES	Salgado microregion;stratigraphic analysis;matrix of Harris;documentation;Pará state	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	FERNANDO LUIZ TAVARES MARQUES	Microregião do Salgado;análise estratigráfica;Matriz de Harris;Documentação;Pará		15001016063P4	Estudos de conservação dos materiais geológicos utilizados no Patrimônio Cultural	83.0			Empresa Privada	DISSERTAÇÃO	CLT	Aplicação dos estudos de arqueologia da arquitetura em edificações históricas: o caso do palácio Paço Municipal de Marapanim	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
SALLES, G. S.	GUSTAVO DA SILVA SALLES	Pós-graduções do Instittuto de Tecnologia		31/08/2017		Ensino e Pesquisa	PORTUGUES	replacement mortar;lime;repair;compatibility	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	MARCIO SANTOS BARATA	compatibilidade;argamassa de substituição;cal;restauro		15001016063P4		93.0			Instituição de Ensino e Pesquisa	DISSERTAÇÃO	Servidor Público	Argamassas de substituição em edifícios históricos: estudo da compatibilidade através das propriedades mecânicas e do comportamento à água	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
BECHARA, L. A. C.	LOURENCO AUGUSTO DA COSTA BECHARA	Pós-graduções do Instittuto de Tecnologia		31/08/2017		Ensino e Pesquisa	PORTUGUES	Pervious Concrete;Urban Drainage;Pervious Pavement;Light traffic;Crushed Stone	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	MARCIO SANTOS BARATA	concreto poroso;drenagem urbana;pavimento permeável;tráfego leve;brita;sustentabilidade		15001016063P4		119.0			Instituição de Ensino e Pesquisa	DISSERTAÇÃO	Servidor Público	Concreto poroso como revestimento de pavimento permeável: alternativa de drenagem urbana não estrutural à Região Metropolitana de Belém	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
HAMOY, L. B.	LUCIANA BISCARO HAMOY	Pós-graduções do Instittuto de Tecnologia		31/08/2017		Profissional Autônomo	PORTUGUES	self-leveling mortar;self-leveling underlayment;acoustic performance;construction system	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	MARCIO SANTOS BARATA	argamassa autonivelante;contrapiso autonivelante;desempenho acústico;sistema construtivo;racionalização		15001016063P4		116.0			Empresa Privada	DISSERTAÇÃO	CLT	Contrapiso autonivelante: uma proposta de sistema construtivo racionalizador para edificações	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
SOUZA, A. C. D. B.	ANA CAROLINA DIAS BARRETO DE SOUZA	Pós-graduções do Instittuto de Tecnologia		31/08/2017		Profissional Autônomo	PORTUGUES	Energy Efficiency;Building Labeling;RTQ-C;RETScreen;Payback	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	MARIA EMILIA DE LIMA TOSTES	Eficiência energética;Etiquetagem de edificações;RTQ-C;RETScreen;Payback		15001016063P4	SISGEE - Sistema de Gestão da Unidades Consumidoras de Energia Elétrica Da cidade da Cidade Universitária Prof Jose da Silveira Neto	179.0			Outros	DISSERTAÇÃO	CLT	Eficiência energética de edificações visando a certificação pelo RTQ-C e a análise energético-finaneiro e ambiental	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
GONÇALVES, A. P. C.	ANA PAULA CLAUDINO GONCALVES	Pós-graduações do Instituto de Tecnologia da UFPa.		21/12/2017		Profissional Autônomo	PORTUGUES	false;escaiola;print;conservation	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	THAIS ALESSANDRA BASTOS CAMINHA SANJAD	fingido;escaiola;estampa;conservação		15001016063P4	Estudos de conservação dos materiais geológicos utilizados no Patrimônio Cultural	120.0			Empresa Privada	DISSERTAÇÃO	CLT	Escarolas e fingidos aplicados em edificações históricas de Belém: subsídios de conservação e restauro	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
FIGUEIREDO, L. F.	LORENA FLEXA FIGUEIREDO	Pós-graduações do Instituto de Tecnologia da UFPa.		20/12/2017		Profissional Autônomo	PORTUGUES	Decorative stuccos;Façades;Palaces;Alterations;Characterization;Conservation	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	THAIS ALESSANDRA BASTOS CAMINHA SANJAD	Estuques decorativos;Fachadas;Palacetes;Alterações;Caracterização;Conservação		15001016063P4	OS MATERIAIS DAS EDIFICAÇÕES CULTURAIS DA AMAZÔNIA: CONTRIBUIÇÕES DA CIÊNCIA DA CONSERVAÇÃO E DA RESTAURAÇÃO PARA A SUA SALVAGUARDA	116.0			Empresa Privada	DISSERTAÇÃO	CLT	Estuques de relevo das fachadas dos palacetes de Belém: subsídios de conservação e restauro	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
CARDENAL, M. E. C.	MARIA ESTHER CORRALES CARDENAL	Pós-graduções do Instittuto de Tecnologia		16/02/2017			PORTUGUES	thermal performance;passive bioclimatic strategy;heat index	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	MARIA EMILIA DE LIMA TOSTES	desempenho térmico;estratégia bioclimática passiva;índice de calor		15001016063P4	SISGEE - Sistema de Gestão da Unidades Consumidoras de Energia Elétrica Da cidade da Cidade Universitária Prof Jose da Silveira Neto	138.0				DISSERTAÇÃO		Metodologia para avaliação do desempenho térmico em edificações: Estudo de Caso aplicado a Edifício Habitacional na cidade de Belém do Pará	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
