Abreviatura	Autor	Biblioteca depositada	CNPJ/Código Governamental Internacional do Financiador	Data de Defesa	Descrição	Expectativa de Atuação	Idioma	Keywords	Linha de Pesquisa	Mesma área de Atuação?	Número de Meses	O orientador principal compôs a banca do discente?	Orientador	Palavras-chave	Produção Associada	Programa	Projeto de Pesquisa	Páginas	Subtipo da Produção	Tipo da Produção	Tipo de Instituição	Tipo de Trabalho de Conclusão	Tipo de Vínculo Empregatício	Título	Volume	Área de Concentração
MELO, D. E. N.	DAIANA EVELYN DO NASCIMENTO MELO	https://tede.ufam.edu.br/handle/tede/7631		29/11/2019			PORTUGUES	Tourism;Museums - Frequency;Software - Development;Web-based user interface;Application program interface (Software)	DESIGN, COMUNICAÇÃO E GESTÃO DE PROJETOS VISUAIS	Sim		Sim	CLAUDETE BARBOSA RUSCHIVAL	Turismo;Museus - Frequência;Software - Desenvolvimento;Interface de usuário baseada na Web;Interface de programas aplicativos (Software)		12001015172P0		93.0				DISSERTAÇÃO		Sistema digital de registro de visitação turística: estudo de caso do Palacete Provincial da cidade de Manaus	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
ROCHA, B. L.	BRUCE LOPES DA ROCHA	CESAR School		30/04/2019			PORTUGUES	Recreation. Quality of life. Virtual reality.	METODOLOGIAS DE CONCEPÇÃO DE ARTEFATOS DIGITAIS	Sim		Sim	SYLKER TELES DA SILVA	Lazer. Qualidade de vida. Realidade virtual.		13012002001P6		62.0				DISSERTAÇÃO		A REALIDADE VIRTUAL E SEU USO COMO MECANISMO PARA PROPORCIONAR QUALIDADE DE VIDA AOS IDOSOS ACAMADOS NA FUNDAÇÃO DE APOIO AO IDOSO DOUTOR THOMAS	1.0	Design de Artefatos Digitais
BENIGNO, F. P.	FABIO PIRES BENIGNO	CESAR School		20/12/2019			PORTUGUES	Teatro Amazonas. Service. Design Thinking. User Centered Design.	METODOLOGIAS DE CONCEPÇÃO DE ARTEFATOS DIGITAIS	Sim		Sim	WILSON SILVA PRATA	Teatro Amazonas. Serviço. Design Thinking. Design centrado no usuário.		13012002001P6		99.0				ESTUDO DE CASO		ESTUDO SOBRE AS NECESSIDADES DOS USUÁRIOS DOS SERVIÇOS PRESTADOS PELO TEATRO AMAZONAS 	1.0	Design de Artefatos Digitais
SILVA, J. M. L.	JULIANA MICAELA LIMA DA SILVA	CESAR School		09/05/2019			PORTUGUES	User-Centered Design. Endomarketing. Motivation. Scrum.	INOVAÇÃO E CULTURA DIGITAL	Sim		Sim	NARLE SILVA TEIXEIRA	Design Centrado no Usuário. Endomarketing. Motivação. Scrum.		13012002001P6		32.0				DISSERTAÇÃO		LIKE - UMA APLICAÇÃO WEB DE MOTIVAÇÃO NO  AMBIENTE DE TRABALHO 	1.0	Design de Artefatos Digitais
CASTRO, C. A. F.	CAMILA ALMEIDA FALABELLA DE CASTRO	CESAR School		20/05/2019			PORTUGUES	Methodology. Entrepreneurship. Canvas for Business Template. Design Thinking. Startup Lean	METODOLOGIAS DE CONCEPÇÃO DE ARTEFATOS DIGITAIS	Sim		Sim	LILIAN CRISTINA SCHREINER	Metodologia. Empreendedorismo. Canvas para Modelo de Negócio. Design Thinking. Startup Enxuta.		13012002001P6		135.0				DISSERTAÇÃO		METODOLOGIAS E FERRAMENTAS PARA DESENVOLVIMENTO DA STARTUP INDIKKO	1.0	Design de Artefatos Digitais
FRANCA, S. R. N.	SARA RAQUEL NEGREIROS FRANCA DE MELO	CESAR School		15/08/2019			PORTUGUES	Service Design. Tourism. Design Thinking. Experience.	INOVAÇÃO E CULTURA DIGITAL	Sim		Sim	WILSON SILVA PRATA	Design de serviços. Turismo. Design Thinking. Experiência.		13012002001P6		135.0				DISSERTAÇÃO		O DESIGN COMO UMA FERRAMENTA ESTRATÉGICA DE SUPORTE AO DESENVOLVIMENTO DOS SERVIÇOS TURÍSTICOS DE MANAUS	1.0	Design de Artefatos Digitais
CORREIA, R. S.	RODRIGO SANTIAGO CORREIA	CESAR School		30/04/2019			PORTUGUES	Service Design. Irritable Bowel Syndrome. Tracking. App.	METODOLOGIAS DE CONCEPÇÃO DE ARTEFATOS DIGITAIS	Sim		Sim	EDUARDO CAMPELLO PEIXOTO	Design de serviços. Síndrome do Intestino Irritável. Acompanhamento. Aplicativo.		13012002001P6		177.0				DISSERTAÇÃO		O DESIGN DE SERVIÇOS COMO FERRAMENTA DE MELHORIA DA QUALIDADE DE VIDA DE PORTADORES DA SÍNDROME DO INTESTINO IRRITÁVEL  	1.0	Design de Artefatos Digitais
COSTA, M. G. M.	MARIA DA GLORIA DE MORAES COSTA	Biblioteca do Instituto de Tecnologia da UFPa.		30/08/2019		Profissional Autônomo	PORTUGUES	architectural;conception process analysis;Alcyr Meira	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	ANA KLAUDIA DE ALMEIDA VIANA PERDIGAO	arquiteturologia;análise de processo de concepção;Alcyr Meira		15001016063P4	Caracterização de padrões de urbanização portadores de sociobiodiversidade na Amazônia Oriental	124.0			Empresa Pública ou Estatal	DISSERTAÇÃO	CLT	A Arquiteturologia na análise da concepção arquitetônica: uma aplicação à produção do arquiteto Alcyr Meira	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
GODINHO, E. S. P.	EMANUELLA DA SILVA PIANI GODINHO	Biblioteca do Instituto de Tecnologia da UFPa.		30/08/2019		Ensino e Pesquisa	PORTUGUES	Historic Center of Belém;Institucionalization;Management;Urban policies;Heritage;Morpholocial analysis	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	JULIANO PAMPLONA XIMENES PONTE	Centro Histórico de Belém;Institucionalização;Gestão;políticas públicas;Patrimônio;Análise morfológica		15001016063P4		318.0			Instituição de Ensino e Pesquisa	DISSERTAÇÃO	Servidor Público	A invenção do Centro Histórico de Belém, PA	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
LIMA, Z. E. A.	ZAMARA ELAINE ANUNCIATA LIMA	Biblioteca do Instituto de Tecnologia da UFPa.	889834000108.0	30/08/2019	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação		PORTUGUES	Memory;Heritage;Ethnography;Fordlandia;Belterra;Amazon;Pará	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim	24.0	Sim	CYBELLE SALVADOR MIRANDA	Memória;Patrimônio;Etnografia;Fordlândia;Belterra;Amazônia;Pará		15001016063P4		92.0				DISSERTAÇÃO		A Patrimonialização de Vilas Operárias: O Caso de Fordlândia e Belterra	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
ROSA, L. F. F.	LARISSE DE FATIMA FARIAS DA ROSA	Biblioteca do Instituto de Tecnologia da UFPa.		27/08/2019			PORTUGUES	Railroads;iron architecture;industrial heritage;railroads traces;preservation	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	FLAVIA OLEGARIO PALACIOS	Ferrovias;Arquitetura do ferro;Patrimônio industrial;Vestígios		15001016063P4	OS MATERIAIS DAS EDIFICAÇÕES CULTURAIS DA AMAZÔNIA: CONTRIBUIÇÕES DA CIÊNCIA DA CONSERVAÇÃO E DA RESTAURAÇÃO PARA A SUA SALVAGUARDA	134.0				DISSERTAÇÃO		A significância cultural da estrada de ferro de Bragança: Histórias, transformações e permanências do patrimônio industrial na Amazônia	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
VIEIRA, C. E.	CAROLINE EDWARDS VIEIRA	Biblioteca do Instituto de Tecnologia da UFPa.		30/08/2019		Profissional Autônomo	PORTUGUES	River basins;Land use and occupation;Environmental factors;Runoff	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	JULIANO PAMPLONA XIMENES PONTE	Bacias hidrográficas;uso e ocupação do solo;fatores ambientais;escoamento superficial		15001016063P4	Subsídios urbanísticos para a construção de Plano Metropolitano de drenagem urbana, Região Metropolitana de Belém, Pará	145.0			Empresa Privada	DISSERTAÇÃO	CLT	Análise ambiental urbana de Benevides, PA	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
ASSOFRA, I. L.	ISABELLA LAGO ASSOFRA	Biblioteca do Instituto de Tecnologia da UFPa.	889834000108.0	18/07/2019	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação		PORTUGUES	acoustic confort;urban morphology;noise pollution	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim	24.0	Sim	GUSTAVO DA SILVA VIEIRA DE MELO	conforto acústico;morfologia urbana;poluição sonora		15001016063P4	METODOLOGIA PARA APLICAÇÃO DE MONITORAMENTO ONLINE DE RUÍDO	88.0				DISSERTAÇÃO		Análise dos Elementos Morfológicos com Ênfase no Ruído Urbano: O Caso do Bairro do Marco	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
RIBEIRO, R. F.	REBECA FERREIRA RIBEIRO	Biblioteca do Instituto de Tecnologia da UFPa.		05/07/2019		Outros	PORTUGUES	Belém;building;modern	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	CELMA DE NAZARE CHAVES DE SOUZA PONT VIDAL	Belém;Edifício;Modernidade		15001016063P4	A cultura arquitetônica em Belém: transformações entre 1940-1975	150.0			Empresa Pública ou Estatal	DISSERTAÇÃO	Servidor Público	Arquitetura moderna, modernização e os modos de morar em Belém: um estudo do edifício Manuel Pinto da Silva	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
MORIYA, K. V.	KARINA VIDAL MORIYA	Biblioteca do Instituto de Tecnologia da UFPa.		27/08/2019		Outros	PORTUGUES	Institutional;Built heritage;Preservation;Reuse;Cultural significance;Appreciation	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	THAIS ALESSANDRA BASTOS CAMINHA SANJAD	Institucional;Patrimônio edificado;Preservação;Reutilização;Significância cultural;Valorização		15001016063P4	Estudos de conservação dos materiais geológicos utilizados no Patrimônio Cultural	75.0			Outros	DISSERTAÇÃO	Servidor Público	As potencialidades das edificações culturais governamentais	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
RODRIGUES, R. A. L.	RODRIGO AUGUSTO DE LIMA RODRIGUES	Biblioteca do Instituto de Tecnologia da UFPa.		05/07/2019			PORTUGUES	modern architecture;assimilation;residences;Belém, PA	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	CELMA DE NAZARE CHAVES DE SOUZA PONT VIDAL	Arquitetura moderna;assimilação;residências;Belém, PA		15001016063P4	A cultura arquitetônica em Belém: transformações entre 1940-1975	179.0				DISSERTAÇÃO		As variações do morar moderno e a assimilação da arquitetura moderna em residências de Belém entre 1940 e 1970	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
COSTA, W. J. F.	WAGNER JOSE FERREIRA DA COSTA	Biblioteca do Instituto de Tecnologia da UFPa.	889834000108.0	25/04/2019	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação		PORTUGUES	Nazaré's Basilica;Devotion;Aesthetic-symbolic;Heritage;Belém, PA	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim	24.0	Sim	CYBELLE SALVADOR MIRANDA	Basílica de Nazaré;Devoção;Estético-simbólica;Patrimônio;Belém, PA		15001016063P4	Belém dos Ecletismos: Arquitetura na cultura da metrópole amazônica	172.0				DISSERTAÇÃO		Basílica Santuário de Nazaré: espaço sacro, valor simbólico e patrimonialidade	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
RIBEIRO, S. N.	SALMA NOGUEIRA RIBEIRO	Biblioteca do Instituto de Tecnologia da UFPa.		27/06/2019			PORTUGUES	Cinema Opera;Street cinemas;Ethnography;Belém, PA;Heritage	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	CYBELLE SALVADOR MIRANDA	Cine Ópera;Cinemas de rua;Patrimônio;Etnografia;Belém, PA		15001016063P4		100.0				DISSERTAÇÃO		Cine Ópera - Belém Pará - Arquitetura como microcosmo de memórias subterrâneas	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
PINHEIRO, L. C.	LUANA CAMPOS PINHEIRO	Biblioteca do Instituto de Tecnologia da UFPa.		30/08/2019		Empresas	PORTUGUES	Brazilian amazon;morphology;floating settlement;riverine community;Catalão Lake, Indatuba, AM	TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	Sim		Sim	ANA CLÁUDIA DUARTE CARDOSO	Amazônia brasileira;morfologia;assentamento flutuante;comunidade ribeirinha;Lago Catalão, Indatuba, AM		15001016063P4	URBIS AMAZÔNIA	100.0			Empresa Pública ou Estatal	DISSERTAÇÃO	CLT	Comunidade flutuante Lago Catalão, Iranduba (AM): um assentamento ribeirinho sobre as águas	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
BRAGA, N. T. S.	NALLYTON TIAGO DE SALES BRAGA	Biblioteca do Instituto de Tecnologia da UFPa.	889834000108.0	11/12/2019	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação		PORTUGUES	pervious concrete;granulometry;w/c ratio;heavy rain;surface run-off	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim	24.0	Sim	LUCIANA DE NAZARE PINHEIRO CORDEIRO	concreto permeável;granulometria;relação a/c;chuvas intensas;escoamento superficial		15001016063P4	Avaliação de Desempenho, Inovação e Sustentabilidade na Construção Civil	139.0				DISSERTAÇÃO		CONCRETOS PERMEÁVEIS NA AMAZÔNIA: DESAFIOS E POTENCIALIDADES REGIONAIS.	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
RIOS, M. F. G.	MARYLU FERNANDES GUEDES RIOS	Biblioteca do Instituto de Tecnologia da UFPa.		30/08/2019		Profissional Autônomo	PORTUGUES	horizontal closed condominums;way of living;post-modernism;urban and building regulation;Belém, PA	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	JOSE JULIO FERREIRA LIMA	condomínios fechados horizontais;modo de morar;pós-modernismo;regulação urbanística e edilícia;Belém, PA		15001016063P4	Observatório das Metrópoles	112.0			Empresa Pública ou Estatal	DISSERTAÇÃO	Servidor Público	Condomínios Fechados Horizontais em Belém: experiências na década de 1990 e anos 2000	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
MAIA, L. P.	LORENA PORTO MAIA	Biblioteca do Instituto de Tecnologia da UFPa.	889834000108.0	23/08/2019	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação		PORTUGUES	archaelogical ceramics;conservation and restoration;archeology;archeometry	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim	24.0	Sim	THAIS ALESSANDRA BASTOS CAMINHA SANJAD	cerâmica arqueológica;conservação e restauro;arqueologia;arqueometria		15001016063P4		151.0				DISSERTAÇÃO		Conservação e Restauro de Cerâmicas Arqueológicas da Amazônia	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
KOBAYASHI, L. G.	LILIAN GUEDES KOBAYASHI	Biblioteca do Instituto de Tecnologia da UFPa.	33654831000136.0	09/07/2019	CONS NAC DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO - Auxílio à Pesquisa	Profissional Autônomo	PORTUGUES	correlation between noise and CO2 in Amazon;urban environmental phenomena;mapping in GIS;soundscape	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim	24.0	Sim	GUSTAVO DA SILVA VIEIRA DE MELO	correlação entre ruído e CO2 na Amazônia;fenômenos ambientais urbanos;mapeamento em SIG;paisagem sonora		15001016063P4	METODOLOGIA PARA APLICAÇÃO DE MONITORAMENTO ONLINE DE RUÍDO	153.0			Empresa Privada	DISSERTAÇÃO	CLT	Correlação entre ruído e CO2 diante de parâmetros urbanos em uma porção da Avenida Almirante Barroso - Belém-PA	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
FILHO, F. W. M.	FRANCISCO WILLAME DE MORAIS FILHO	Biblioteca do Instituto de Tecnologia da UFPa.		30/08/2019		Ensino e Pesquisa	PORTUGUES	Ventilated façade;Thermal performance;Amazon climate;Chimney effect;Amazon	TECNOLOGIAS CONSTRUTIVAS, CONSERVAÇÃO E RESTAURO	Sim		Sim	MARCIO SANTOS BARATA	Fachada ventilada;Desempenho térmico;Clima amazônico;Efeito chaminé;Amazônia		15001016063P4	Avaliação de Desempenho, Inovação e Sustentabilidade na Construção Civil	122.0			Instituição de Ensino e Pesquisa	DISSERTAÇÃO	Servidor Público	Desempenho térmico de fachadas ventiladas frente ao clima equatorial úmido da Amazônia	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
REGO, C. C. A.	CRISTINA CATIA ARAUJO REGO	Biblioteca do Instituto de Tecnologia da UFPa.		30/08/2019		Outros	PORTUGUES	Squares;Housing settlements;Landscape;Belém, PA	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim		Sim	JOSE JULIO FERREIRA LIMA	Praças;Conjuntos habitacionais;Paisagem;Belém, PA		15001016063P4		119.0			Empresa Pública ou Estatal	DISSERTAÇÃO	Servidor Público	Entre olhares e vivências: análise espacial da paisagem nas doze praças do Conjunto Nova Maramabaia em Belém	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
TRINDADE, R. P.	ROSINEIDE TRINDADE DA PAIXAO	Biblioteca do Instituto de Tecnologia da UFPa.	889834000108.0	13/06/2019	FUND COORD DE APERFEICOAMENTO DE PESSOAL DE NIVEL SUP - Apoio à Pós-Graduação		PORTUGUES	Architecture project;social housing;human dimension;Amazon	ARQUITETURA, DESENHO DA CIDADE E DESEMPENHO AMBIENTAL	Sim	24.0	Sim	ANA KLAUDIA DE ALMEIDA VIANA PERDIGAO	Projeto de arquitetura;habitação social;dimensão humana;Amazônia		15001016063P4	Caracterização de padrões de urbanização portadores de sociobiodiversidade na Amazônia Oriental	169.0				DISSERTAÇÃO		Estudo longitudinal das famílias remanejadas e reassentadas no Projeto Taboquinha (Icoaraci, Belém, Pará) como subsídio ao projeto de arquitetura em habitação social	1.0	CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
