Abreviatura	Autor	Biblioteca depositada	CNPJ/Código Governamental Internacional do Financiador	Data de Defesa	Descrição	Expectativa de Atuação	Idioma	Keywords	Linha de Pesquisa	Mesma área de Atuação?	Número de Meses	O orientador principal compôs a banca do discente?	Orientador	Palavras-chave	Produção Associada	Programa	Projeto de Pesquisa	Páginas	Subtipo da Produção	Tipo da Produção	Tipo de Instituição	Tipo de Trabalho de Conclusão	Tipo de Vínculo Empregatício	Título	Volume	Área de Concentração
SOUZA, G. C. A.	GABRIELA COSTA AROUCK DE SOUZA	https://tede.ufam.edu.br/handle/tede/7591	5666943000171.0	16/10/2019	FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO AMAZONAS - FAPEAM - Bolsas de Mestrado e Doutorado		PORTUGUES	Stuttering;Mobile apps;Technology - Social aspects	DESIGN, COMUNICAÇÃO E GESTÃO DE PROJETOS VISUAIS	Sim	17.0	Sim	SHEILA CORDEIRO MOTA	Gagueira;Aplicativos móveis;Tecnologia - Aspectos sociais		12001015172P0		217.0				DISSERTAÇÃO		Desenvolvimento de aplicativo mobile para apoio sócio-informacional à pessoas com gagueira	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
BENTES, T. K.	TIAGO KIMURA BENTES	tede.ufam(aseratualizado)	5666943000171.0	27/12/2019	FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO AMAZONAS - FAPEAM - Bolsas de Mestrado e Doutorado	Ensino e Pesquisa	PORTUGUES	Interface design;Tickets selling;Amazon boats	DESIGN, COMUNICAÇÃO E GESTÃO DE PROJETOS VISUAIS	Sim	14.0	Sim	NELSON KUWAHARA	Design de Interfaces;Venda de passagens;Barcos do Amazonas		12001015172P0		172.0			Instituição de Ensino e Pesquisa	DISSERTAÇÃO	CLT	DESENVOLVIMENTO DE INTERFACE PARA DISPOSITIVOS MÓVEIS PARA INTERAÇÃO ENTRE DEMANDANTES E OFERTANTES DE PASSAGENS NO TRANSPORTE AQUAVIÁRIO NO AMAZONAS	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
SOUZA, G. L.	GERALDO LIRA DE SOUZA	https://tede.ufam.edu.br/	5666943000171.0	31/10/2019	FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO AMAZONAS - FAPEAM - Bolsas de Mestrado e Doutorado		PORTUGUES	Acai composite;Sustainable design;Sustainability	DESIGN, SISTEMAS DE PRODUTOS E PROCESSOS	Sim	17.0	Sim	MAGNOLIA GRANGEIRO QUIRINO	Compósito de açaí;Design sustentável;Sustentabilidade		12001015172P0		141.0			Empresa Pública ou Estatal	DISSERTAÇÃO	Servidor Público	DESENVOLVIMENTO DE SUPORTE PARA NOTEBOOK A PARTIR DE COMPÓSITO PRODUZIDO COM SEMENTES DO AÇAÍ	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
CAVALCANTI, B.P.B.C.	BRENNA PAULA BOAVENTURA CORREA CAVALCANTI	https://tede.ufam.edu.br/handle/tede/7753		12/12/2019		Ensino e Pesquisa	PORTUGUES	Cost;Hour Worked;Project;Pricing	DESIGN, SISTEMAS DE PRODUTOS E PROCESSOS	Sim		Sim	DANIEL FERREIRA DE CASTRO	Precificação;Custo;Hora Trabalhada;Projeto		12001015172P0		110.0			Instituição de Ensino e Pesquisa	DISSERTAÇÃO	Servidor Público	DESENVOLVIMENTO DE UM MODELO PARA PRECIFICAÇÃO DE PROJETOS DE DESIGN GRÁFICO: UMA FERRAMENTA PARA O PROFISSIONAL LIBERAL	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
PINHO ABREU, A. L. C. P.	ANNA LOYDE ABREU DE ARAUJO	https://tede.ufam.edu.br/handle/tede/7545	5666943000171.0	05/11/2019	FUNDACAO DE AMPARO A PESQUISA DO ESTADO DO AMAZONAS - FAPEAM - Bolsas de Mestrado e Doutorado		PORTUGUES	Art - Manaus (AM);Design Communication;Commercial Art Galleries	DESIGN, COMUNICAÇÃO E GESTÃO DE PROJETOS VISUAIS	Sim	12.0	Sim	KARLA MAZARELO MACIEL PACHECO	Arte - Manaus (AM);Comunicação em design;Galerias de arte comerciais		12001015172P0		192.0				DISSERTAÇÃO		Design e sistema digital de comunicação: galeria virtual para divulgação do trabalho artístico visual manauara	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
BENEVIDES J. A. Y.	ACURSIO YPIRANGA BENEVIDES JUNIOR	https://tede.ufam.edu.br/handle/tede/7556		30/10/2019		Profissional Autônomo	PORTUGUES	Project work;Industrial learning;Vocational education	DESIGN, COMUNICAÇÃO E GESTÃO DE PROJETOS VISUAIS	Sim		Sim	SHEILA CORDEIRO MOTA	Projeto de trabalho;Aprendizagem industrial;Ensino profissional		12001015172P0		128.0				DISSERTAÇÃO		Design tático nos serviços sociais autônomos da indústria: estudo de casa no SENAI Amazonas	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
FERNANDES, T. L. N.	TITO LIVIO DO NASCIMENTO FERNANDES	https://tede.ufam.edu.br/handle/tede/7669		06/12/2019		Ensino e Pesquisa	PORTUGUES	Periodicals;Publishing;Layout of magazines;Communication in science	DESIGN, COMUNICAÇÃO E GESTÃO DE PROJETOS VISUAIS	Sim		Sim	FRANCIANE DA SILVA FALCAO	Periódicos;Editoração;Diagramação de revistas;Comunicação na ciência		12001015172P0		189.0			Instituição de Ensino e Pesquisa	DISSERTAÇÃO	Servidor Público	DESIGN, TECNOLOGIA E CIÊNCIA: PRODUÇÃO EDITORIAL DE PERIÓDICOS  CIENTÍFICOS E UM ESTUDO DE CASO DA REVISTA ACTA AMAZONICA	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
VERAS, M. F.	MAYANA FERNANDES VERAS	tede.ufam(aseratualizado)		12/09/2019			PORTUGUES	Design;Software;Research and Development;Project management	DESIGN, COMUNICAÇÃO E GESTÃO DE PROJETOS VISUAIS	Sim		Sim	CLAUDETE BARBOSA RUSCHIVAL	Design;Software;Pesquisa e desenvolvimento;Gestão de projeto		12001015172P0		83.0				DISSERTAÇÃO		O DESIGN COMO FERRAMENTA PARA A GESTÃO DE PROJETOS DE PESQUISA E DESENVOLVIMENTO DE TECNOLOGIA FOMENTADOS POR  RECURSOS PÚBLICOS	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
RAPOSO, M. R.	MARCICLEY REGO RAPOSO	https://tede.ufam.edu.br/handle/tede/7467		16/09/2019			PORTUGUES	Augmented Reality;Literacy;Visual Literacy	DESIGN, COMUNICAÇÃO E GESTÃO DE PROJETOS VISUAIS	Sim		Sim	JACKSON COLARES DA SILVA	Realidade aumentada;Alfabetização;Alfabetização visual		12001015172P0		55.0				DISSERTAÇÃO		O design editorial e recursos didáticos interativos: integrando Realidade Amentada nos processos de letramento e alfabetização	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
CAVALCANTI, L. R. B.	LUCIO ROGERIO BASTOS CAVALCANTI	https://tede.ufam.edu.br/handle/tede/7739		12/12/2019			PORTUGUES	Design;Branding;Agribusiness;Amazon	DESIGN, COMUNICAÇÃO E GESTÃO DE PROJETOS VISUAIS	Sim		Sim	ALMIR DE SOUZA PACHECO	Design;Branding;Agronegócios;Amazônia		12001015172P0		148.0			Empresa Pública ou Estatal	DISSERTAÇÃO	Servidor Público	O USO DO BRANDING COMO ESTRATÉGIA COMPETITIVA PARA O AGRONEGÓCIO NO ESTADO DO AMAZONAS	1.0	DESIGN, INOVAÇÃO E DESENVOLVIMENTO TECNOLÓGICO
