Abreviatura	Autor	Biblioteca depositada	CNPJ/Código Governamental Internacional do Financiador	Data de Defesa	Descrição	Expectativa de Atuação	Idioma	Keywords	Linha de Pesquisa	Mesma área de Atuação?	Número de Meses	O orientador principal compôs a banca do discente?	Orientador	Palavras-chave	Produção Associada	Programa	Projeto de Pesquisa	Páginas	Subtipo da Produção	Tipo da Produção	Tipo de Instituição	Tipo de Trabalho de Conclusão	Tipo de Vínculo Empregatício	Título	Volume	Área de Concentração
DINIZ, V. L. G.	VIRGINIA LUCIA GUERREIRO DINIZ	Biblioteca central - UFPA		30/09/2013			PORTUGUES		PATRIMÔNIO, RESTAURO E TECNOLOGIA	Sim		Sim	THAIS ALESSANDRA BASTOS CAMINHA SANJAD	Pintura de quadratura, pigmento, corante, carajiru, restauração.		15001016063P4	PATRIMÔNIO AZULEJAR SETECENTISTA DE BELÉM: SUBSÍDIOS CIENTÍFICOS PARA CONSERVAÇÃO E A RESTAURAÇÃO DOS REMANESCENTES MAIS ANTIGOS DA CIDADE.	120.0				DISSERTAÇÃO		A pintura de quadratura landiana em Belem do Para		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
OLIVEIRA, B. G. F.	BRUNO GABRIEL FREITAS OLIVEIRA	Biblioteca central UFPA		25/03/2013			PORTUGUES		DESEMPENHO AMBIENTAL E TECNOLOGIA	Sim		Sim	MARIA EMILIA DE LIMA TOSTES	RTQ-C, Eficiência Energética, CEAMAZON, certificação 		15001016063P4		161.0				DISSERTAÇÃO		Analise do desempenho energetico de edificacoes: aplicacao analitica do RTQ-C no edificio do CEAMAZON		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
NETO, O. G.	OSWALDO GAMA NETO			02/04/2013			PORTUGUES		TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	Sim		Sim	CELMA DE NAZARE CHAVES DE SOUZA PONT VIDAL	arborização urbana, análise comparativa, sistemas, significado no contexto urbano, seleção de espécies, legislação e normativas 		15001016063P4		151.0				DISSERTAÇÃO		Arborizacao urbana em Belem: dialogo entre dois tempos		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
LOUREIRO, A. M. S.	ALEXANDRE MAXIMO SILVA LOUREIRO	BIBLIOTECA CENTRAL - UFPA		05/09/2013			PORTUGUES		PATRIMÔNIO, RESTAURO E TECNOLOGIA	Sim		Sim	ROMULO SIMOES ANGELICA	Dessalinização  Eflorescência  Argamassas Históricas    Umidade		15001016063P4	PATRIMÔNIO AZULEJAR SETECENTISTA DE BELÉM: SUBSÍDIOS CIENTÍFICOS PARA CONSERVAÇÃO E A RESTAURAÇÃO DOS REMANESCENTES MAIS ANTIGOS DA CIDADE.	0.0				DISSERTAÇÃO		Argamassa de saneamento para dessalinizacao de alvenarias mistas de edificios historicos de Belem		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
CARVALHO, B. M.	BARBARA MORAES DE CARVALHO			21/08/2013			PORTUGUES		TECNOLOGIA, ESPAÇO E DESENHO DA CIDADE	Sim		Sim	CELMA DE NAZARE CHAVES DE SOUZA PONT VIDAL	Arquitetura Pública; tipolofgia arquitetônica; lugar; arquitetura moderna.		15001016063P4	O MERCADO PÚBLICO EM BELÉM: ESTUDOS DE TIPOLOGIAS ARQUITETÔNICAS E DINÂMICA HISTÓRICA, URBANÍSTICA E SÓCIO-CULTURAL.O MERCADO PÚBLICO EM BELÉM: ESTUDOS DE TIPOLOGIAS ARQUITETÔNICAS E DINÂMICA HISTÓRICA, URBANÍSTICA E SÓCIO-CULTURAL.	150.0				DISSERTAÇÃO		Arquitetura publica moderna: uma caracterizacao sobre tipologia e lugar na cidade de Belem		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
FARIA, M. B. M.	MARIA BEATRIZ MANESCHY FARIA			30/08/2013			PORTUGUES		PATRIMÔNIO, RESTAURO E TECNOLOGIA	Sim		Sim	CYBELLE SALVADOR MIRANDA	Ecletismo, fachadas ecléticas, patrimônio, memória.		15001016063P4		120.0				DISSERTAÇÃO		Arquitetura residencial ecletica em Belem (1870-1912): um estudo da gramatica das Fachadas		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
VINAGRE, N. D. L.	NATALIA DANIELE DE LIMA VINAGRE	Biblioteca central - UFPA		01/04/2013			PORTUGUES		DESEMPENHO AMBIENTAL E TECNOLOGIA	Sim		Sim	MARIA EMILIA DE LIMA TOSTES	Desempenho dos Materiais, Eficiência Energética, Edificações Verticalizadas, Conforto Térmico 		15001016063P4		150.0				DISSERTAÇÃO		Avaliacao Atraves do Desempenho Termico de Edificacoes Verticalizadas na Cidade de Belem-PA		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
SOUZA, M. M.	MIRZA MELLO SOUZA	Biblioteca central - UFPA		30/08/2013			PORTUGUES		DESEMPENHO AMBIENTAL E TECNOLOGIA	Sim		Sim	GUSTAVO DA SILVA VIEIRA DE MELO	acústica hospitalar; unidade de urgência e emergência; ruído hospitalar; ambiente hospitalar;   		15001016063P4		0.0				DISSERTAÇÃO		Avaliacao dos Niveis de Ruido e das Solucoes Arquitetonicas Adotadas em Ambientes das unidades Urgencia e Emergencia no municipio de Belem-Para.		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
NETO, J. M. M.	JOSE MARQUES MORGADO NETO			30/08/2013			PORTUGUES		PATRIMÔNIO, RESTAURO E TECNOLOGIA	Sim		Sim	FERNANDO LUIZ TAVARES MARQUES	Casas Nobres, Patrimônio Arquitetônico, Arquitetura Civil, Período colonial		15001016063P4		100.0				DISSERTAÇÃO		Casas Nobres do Antigo Regime em Belem do Para		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
COUTO, E. M.	ESTEFANY MILEO DE COUTO	Biblioteca Central - UFPA		02/09/2013			PORTUGUES		PATRIMÔNIO, RESTAURO E TECNOLOGIA	Sim		Sim	FERNANDO LUIZ TAVARES MARQUES	Santarém, Centro Histórico, Patrimônio Histórico, Arquitetura Colonial.		15001016063P4		0.0				DISSERTAÇÃO		Centro Historico de Santarem: Caracterizacao e Documentacao Tipologica dos Casaroes encontrados na area central de Santarem.		CONCEPÇÃO E ANÁLISE DO ESPAÇO CONSTRUÍDO NA AMAZÔNIA
